NOMBRE,numhogares,densidadPoblacional,estrato_asignado,num_ferreterias,num_tiendasPinturas,num_construcciones,num_industriales,valResidencial,valComercial,indiceaccesibilidad,cluster_k4,cluster_k5,silhouette,cluster_gmm,cluster_hca,cluster_hca_mapped,consistente
LA ALHAMBRA,16822,13338.99730383445,5,9,0,5.0,0,3499426.2482010582,1914012.2606878304,5.4,1,3,0.4071766284442848,2,1,1,True
LA CANDELARIA,8508,8309.983679215067,2,7,0,5.0,0,2096049.3164864865,2331828.301621621,8.3,3,2,0.09910267470982788,2,2,2,False
LA ESMERALDA,13159,17647.73655386774,4,6,0,0.0,0,3447189.696952381,1481320.3338095238,2.0,1,3,0.21515554389246203,2,1,1,True
LA FLORA,5579,9299.042620217246,1,0,0,0.0,0,1090003.8370588236,0.0,1.7000000000000002,3,2,0.22988101021357032,2,2,2,False
LA FLORESTA,14855,10187.689091395065,4,11,1,1.0,2,3070591.719568966,1741904.6194827587,7.2,1,3,0.22731425048291926,2,1,1,True
LA GLORIA,28231,22847.947481750984,2,9,1,14.0,0,1253796.484642857,143937.61642857143,11.600000000000001,2,1,0.2735723520507468,3,2,2,True
LA MACARENA,5480,13484.540474459483,2,0,0,0.0,1,3100485.3253488373,1317154.4190697672,5.3,3,2,0.12862674876508545,2,2,2,False
LA SABANA,14267,7326.150145992916,3,155,3,11.0,18,1605549.2606167402,3954342.782643172,10.3,0,4,0.04183043428691712,1,3,3,False
LA URIBE,13329,10614.589204788048,3,3,1,7.0,0,2183670.3557575755,1517311.269090909,2.1,3,2,0.11872890993623958,2,2,2,False
LAS CRUCES,7943,21147.0120514655,2,4,1,6.0,0,1917056.282666667,1648626.2573333334,4.9,3,2,-0.016930816890033205,2,2,2,False
LAS FERIAS,35763,20150.53544484651,3,55,17,2.0,0,2544952.865773196,824005.9110309278,9.1,0,0,0.24037627322884164,0,0,0,True
LAS MARGARITAS,8775,19736.149243979777,2,5,0,6.0,0,1849144.5033333332,0.0,1.4000000000000001,3,2,0.06099829645315141,3,2,2,False
LAS NIEVES,8408,9062.503398510322,3,17,2,9.0,0,2271709.5180555554,5504050.390833334,7.9,1,3,0.1053945373220631,1,1,1,True
LOS ALCAZARES,15468,9177.826561858552,3,114,29,13.0,0,2497993.2452650177,2590697.847491166,8.4,0,0,0.24253957386883152,0,0,0,True
LOS ANDES,9151,8467.462276796141,4,52,6,0.0,0,2820083.671967213,1940106.178770492,8.1,1,3,0.1707402133669659,2,1,1,True
LOS CEDROS,51274,17526.277297962726,4,16,0,5.0,0,3133981.0064217253,2047056.675207668,5.1000000000000005,1,3,0.062346596642161946,2,2,2,False
LOS LIBERTADORES,22059,19348.30991623556,2,5,1,0.0,0,1322733.09859375,123064.995546875,6.0,2,2,0.14929515532523327,2,2,2,True
LOURDES,13925,20408.959034008512,2,3,1,0.0,0,1552213.59,0.0,9.5,2,2,0.20721713327655408,3,2,2,True
LUCERO,48510,23604.83603713979,1,7,0,0.0,2,1023043.4382352942,160555.6982352941,18.2,2,1,0.290192211470408,3,0,0,False
MARCO FIDEL SUAREZ,17873,28460.64652481936,2,2,0,0.0,0,1668639.0265517242,437286.0332758621,7.800000000000001,2,2,0.28082164874369575,3,2,2,True
MARRUECOS,30231,25629.22882003296,2,3,0,2.0,0,1625804.5223668637,459542.1944378698,10.8,2,1,0.3720056612503629,3,2,2,True
MINUTO DE DIOS,37002,28145.79654358221,3,57,4,3.0,1,2034900.2274019609,975877.7981862746,7.300000000000001,2,1,0.264202870940406,3,0,0,False
MODELIA,14398,15341.103873842989,4,6,1,3.0,0,2999760.891383648,1084147.0323270438,3.5000000000000004,1,3,0.1871131260400212,2,1,1,True
MONTE BLANCO,1730,723.072679669571,1,0,0,0.0,0,1223404.4466666663,0.0,0.4,3,2,0.30204884650660657,2,2,2,False
MUZU,19326,22011.674337555574,3,20,0,10.0,0,2192249.0627111117,584667.5088444444,5.7,2,2,0.20065449626202653,3,2,2,True
NIZA,26284,9368.46611450304,5,26,3,1.0,1,3304924.5643939395,991796.4238257576,6.800000000000001,1,3,0.2744041347157895,2,1,1,True
PARDO RUBIO,19828,14720.72797769467,4,3,0,0.0,1,4049646.9703759393,1569501.333458647,7.699999999999999,1,3,0.27549289342687056,2,1,1,True
PARQUE SALITRE,1540,2544.263125935347,4,1,0,1.0,0,2824472.4518181817,2732097.7427272727,2.1,1,3,0.11887319228020753,2,1,1,True
PARQUE SIMON BOLIVAR - CAN,946,619.5733144001374,4,0,0,1.0,0,3521025.6964,982825.5816,4.1,1,3,0.17561457248661122,2,1,1,True
PASEO DE LOS LIBERTADORES,801,356.1288667012468,2,2,0,5.0,3,1250812.265,4799562.5175,1.7,3,4,0.21661761590593218,1,1,1,False
PATIO BONITO,46166,42292.69101945624,2,16,1,1.0,0,1424415.5122707423,174084.17336244544,6.0,2,1,0.36833359547118943,3,2,2,True
PUENTE ARANDA,2094,1338.094203605345,3,20,6,13.0,11,1248911.2766666666,3538851.352333333,4.2,3,4,0.14114090500595644,1,1,1,False
QUINTA PAREDES,10604,14032.981907872325,4,10,0,4.0,0,3535678.477716536,2265462.8769291337,3.3,1,3,0.32396166515331115,2,1,1,True
QUIROGA,29770,22366.535464040822,3,20,1,1.0,2,2161462.7254205607,747191.3117757009,12.5,2,1,0.33768061790091414,3,0,0,False
RESTREPO,17714,14244.88888864135,3,18,2,10.0,16,2145609.3996566525,1873427.7608154505,11.5,3,4,0.015586531514593297,1,3,3,True
SAGRADO CORAZON,4950,6554.510659576659,4,3,0,10.0,1,2393829.102857143,4169405.624693878,6.8,1,3,0.16570482718620014,1,1,1,True
SAN BLAS,29330,22488.86114224103,2,6,2,0.0,1,1507360.3837,303698.9767,16.900000000000002,2,1,0.3014171394633346,3,0,0,False
SAN CRISTOBAL NORTE,21521,23091.25448553223,3,12,3,0.0,0,2206877.765874125,1511191.515034965,7.1,2,2,0.2174272543458794,2,2,2,True
SAN FRANCISCO,22835,36571.12641038448,2,11,0,0.0,1,1456611.71,523280.24625,5.300000000000001,2,2,0.2928400521530227,3,2,2,True
SAN JOSE,15104,21090.535956903022,3,18,3,0.0,0,2015077.1289814813,679338.7324074074,5.300000000000001,2,2,0.1301527907127874,2,2,2,True
SAN JOSE DE BAVARIA,16529,10136.688500030976,4,13,0,11.0,0,3437770.5003649634,972712.5684671532,5.0,1,3,0.25269234299421417,2,2,2,False
SAN RAFAEL,24979,20805.53278522575,3,18,1,8.0,1,2376174.3908465607,671703.8648148149,6.300000000000001,2,2,0.24115034501455393,3,2,2,True
SANTA BARBARA,29495,14185.8476943907,6,19,1,4.0,1,3559982.224709677,3595057.662,5.1,1,3,0.3880071019281575,2,1,1,True
SANTA CECILIA,23920,20323.82291672334,3,27,3,0.0,1,2872541.944139194,909732.122967033,4.800000000000001,2,2,0.10891416402359173,2,2,2,True
SANTA ISABEL,13417,18172.4288986904,3,17,2,7.0,1,2103979.230858586,878134.3281313131,6.5,2,2,0.11478572563228326,3,2,2,True
SOSIEGO,13253,16586.69918630811,3,4,1,0.0,0,2012899.171916667,988600.76,7.9,2,2,0.07660920312164282,2,2,2,True
SUBA,53991,23994.41179415101,3,27,2,1.0,0,2121300.510873786,1059786.2724271845,8.6,2,1,0.3537173333613712,3,0,0,False
TEUSAQUILLO,12436,10309.59372188402,4,22,3,7.0,0,3383434.244553571,2655518.704508928,10.8,1,3,0.2795284088988147,2,1,1,True
TIBABUYES,84810,35332.62648506103,2,35,0,0.0,0,1587739.8794344473,388675.7848586118,11.7,2,1,0.2927730836760988,3,0,0,False
TIMIZA,45727,31565.369426487032,3,15,0,1.0,0,1811153.849891892,478166.3523783784,12.3,2,1,0.41272432701079353,3,0,0,False
TINTAL NORTE,9137,7863.989594832392,2,2,1,0.0,4,1940423.2363157896,488681.1863157894,1.7000000000000002,3,2,0.31988376639307436,2,2,2,False
TINTAL SUR,29502,15619.398255106224,2,1,0,17.0,0,1670516.0486813188,214790.9752747253,2.3,2,2,0.03819291745487298,3,2,2,True
TOBERIN,20942,19413.511393565223,4,42,5,2.0,0,2529405.397295082,1813494.270409836,4.699999999999999,1,3,0.05163554570462509,2,0,0,False
TUNJUELITO,12917,11490.24165672971,2,3,0,0.0,2,1773603.9267391304,443081.2784782609,5.9,3,2,0.11899444503998505,2,2,2,False
UPR RÍO TUNJUELO,3945,45.78661555257529,1,0,0,0.0,1,994329.01,0.0,1.8,3,2,0.2964470580247138,2,2,2,False
UPR ZONA NORTE,1253,112.19783861382456,6,0,0,0.0,0,4789257.399999999,0.0,1.5,1,3,0.26362891769654534,2,1,1,True
USAQUEN,14987,7521.803549180052,5,19,0,3.0,0,3707946.120204081,2409805.226224489,4.5,1,3,0.4143826935667802,2,1,1,True
VENECIA,44941,19115.79070172679,2,9,3,4.0,10,1843897.257636364,556665.2211818182,9.3,2,1,0.15715313581491758,3,3,3,False
VERBENAL,35769,29384.454686327528,3,38,1,11.0,2,2045645.4128448276,1549739.303965517,8.0,2,1,0.2967456799194273,3,2,2,True
ZONA FRANCA,17591,10715.78167046862,2,7,0,3.0,10,1937080.7027272729,1517380.666818182,2.6,3,4,0.2558172684107783,2,3,3,True
ZONA INDUSTRIAL,2003,1656.0387337125587,3,18,0,7.0,6,1316895.5295121951,3440952.784146341,5.300000000000001,3,4,0.19734716101496727,1,1,1,False
