NOMBRE,numhogares,area,densidadPoblacional,estrato_asignado,personasReal,num_ferreterias,num_tiendasPinturas,num_construcciones,num_industriales,num_clientes,primary,secondary,tertiary,trunk,valResidencial,valComercial
PASEO DE LOS LIBERTADORES,801,6.390945,356.1288667012468,2,1643,2,0,5.0,3,2,1.0,4.0,0.0,1.0,1250812.2650000001,4799562.5175
PATIO BONITO,46166,3.212801,42292.69101945624,2,93048,16,1,1.0,0,12,2.0,2.0,22.0,1.0,1424415.5122707423,174084.17336244544
PUENTE ARANDA,2094,3.608864,1338.094203605345,3,3696,20,6,13.0,11,7,3.0,3.0,9.0,2.0,1248911.2766666666,3538851.352333333
QUINTA PAREDES,10604,1.761208,14032.981907872323,4,20805,10,0,4.0,0,7,1.0,6.0,5.0,3.0,3535678.477716536,2265462.8769291337
QUIROGA,29770,3.800991,22366.535464040826,3,63765,20,1,1.0,2,17,2.0,19.0,29.0,0.0,2161462.7254205607,747191.3117757009
RESTREPO,17714,3.590902,14244.88888864135,3,39213,18,2,10.0,16,9,2.0,21.0,21.0,2.0,2145609.3996566525,1873427.7608154505
SAGRADO CORAZON,4950,1.485847,6554.510659576659,4,8237,3,0,10.0,1,2,6.0,6.0,10.0,0.0,2393829.102857143,4169405.624693878
SAN BLAS,29330,4.049338,22488.86114224103,2,63856,6,2,,1,1,0.0,19.0,56.0,0.0,1507360.3837000001,303698.9767
SAN CRISTOBAL NORTE,21521,2.787852,23091.25448553223,3,47101,12,3,,0,0,3.0,2.0,25.0,0.0,2206877.7658741255,1511191.515034965
SAN FRANCISCO,22835,1.807929,36571.12641038448,2,46256,11,0,,1,11,1.0,0.0,24.0,1.0,1456611.71,523280.24625
SAN ISIDRO - PATIOS,4165,1.144359,10882.948445374224,2,8681,0,0,,0,0,2.0,0.0,16.0,0.0,,
SAN JOSE,15104,2.10502,21090.535956903022,3,33549,18,3,,0,5,2.0,3.0,17.0,0.0,2015077.1289814815,679338.7324074074
SAN JOSE DE BAVARIA,16529,4.438925,10136.688500030976,4,35958,13,0,11.0,0,9,2.0,2.0,17.0,2.0,3437770.5003649634,972712.5684671532
SAN RAFAEL,24979,3.334017,20805.53278522575,3,53451,18,1,8.0,1,13,2.0,3.0,22.0,1.0,2376174.3908465607,671703.8648148149
SANTA BARBARA,29495,4.644911,14185.8476943907,6,55956,19,1,4.0,1,16,4.0,5.0,8.0,1.0,3559982.2247096775,3595057.662
SANTA CECILIA,23920,3.124609,20323.82291672334,3,50554,27,3,,1,16,2.0,4.0,13.0,1.0,2872541.944139194,909732.122967033
SANTA ISABEL,13417,2.029393,18172.4288986904,3,28453,17,2,7.0,1,8,3.0,4.0,19.0,1.0,2103979.230858586,878134.3281313131
SOSIEGO,13253,2.37805,16586.69918630811,3,29679,4,1,,0,0,2.0,9.0,21.0,0.0,2012899.1719166667,988600.76
SUBA,53991,6.612498,23994.411794151012,3,118410,27,2,1.0,0,21,3.0,3.0,31.0,0.0,2121300.5108737866,1059786.2724271845
TEUSAQUILLO,12436,2.386321,10309.59372188402,4,21024,22,3,7.0,0,6,1.0,17.0,26.0,2.0,3383434.244553571,2655518.704508928
TIBABUYES,84810,7.3566,35332.62648506103,2,181868,35,0,,0,11,0.0,19.0,30.0,0.0,1587739.8794344473,388675.7848586118
TIMIZA,45727,4.357687,31565.369426487032,3,101366,15,0,1.0,0,6,9.0,0.0,39.0,0.0,1811153.849891892,478166.3523783784
TINTAL NORTE,9137,3.476734,7863.989594832392,2,19436,2,1,,4,2,1.0,2.0,3.0,0.0,1940423.2363157896,488681.1863157894
TINTAL SUR,29502,5.840814,15619.398255106224,2,60786,1,0,17.0,0,1,0.0,3.0,7.0,0.0,1670516.0486813188,214790.97527472526
TOBERIN,20942,2.943723,19413.511393565223,4,44862,42,5,2.0,0,18,4.0,7.0,3.0,1.0,2529405.397295082,1813494.2704098362
TUNJUELITO,12917,3.31255,11490.24165672971,2,27389,3,0,,2,3,5.0,0.0,17.0,2.0,1773603.9267391304,443081.2784782609
UPR RÍO BLANCO,63,363.671007,0.39871201500536446,1,101,0,0,,0,0,,,,,,
UPR RÍO SUMAPAZ,81,425.773084,0.5542858599300279,1,158,0,0,,0,0,,,,,,
UPR RÍO TUNJUELO,3945,270.472055,45.78661555257529,1,7339,0,0,,1,0,0.0,0.0,9.0,0.0,994329.01,0.0
UPR ZONA NORTE,1253,38.788626,112.19783861382457,6,2806,0,0,,0,0,1.0,2.0,2.0,1.0,4789257.399999999,0.0
USAQUEN,14987,4.989096,7521.803549180052,5,30075,19,0,3.0,0,15,6.0,3.0,3.0,0.0,3707946.1202040813,2409805.2262244895
VENECIA,44941,6.720151,19115.79070172679,2,95135,9,3,4.0,10,4,4.0,7.0,26.0,5.0,1843897.2576363636,556665.2211818182
VERBENAL,35769,3.603504,29384.454686327528,3,77100,38,1,11.0,2,26,4.0,12.0,12.0,1.0,2045645.4128448274,1549739.303965517
ZONA FRANCA,17591,4.977705,10715.78167046862,2,38359,7,0,3.0,10,7,2.0,0.0,8.0,0.0,1937080.7027272729,1517380.666818182
ZONA INDUSTRIAL,2003,3.512599,1656.0387337125587,3,4095,18,0,7.0,6,12,5.0,2.0,11.0,4.0,1316895.5295121951,3440952.7841463415
